5ae1130a5542997b2ef7d0d3	0,0,1,0,0,0,0,0,0,1	1,1,1,1,1,1,1,1,1,1
5a8c30665542997f31a41df9	1,0,0,0,0,0,0,0,0,1	1,1,1,1,1,1,1,1,1,1
5a7221c955429971e9dc92b7	0,0,1,1,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1
5ae3546a5542992e3233c380	0,1,0,0,0,0,1,0,0,0	1,1,1,1,1,1,1,1,1,1
5a89a59555429946c8d6e97e	0,0,0,0,1,0,0,0,0,1	1,1,1,1,1,1,1,1,1,1
5a8cd93c55429941ae14df11	0,1,0,1,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1
5a8aff4f55429971feec45e0	0,0,0,1,1,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1
5ab6ad2855429953192ad35e	0,0,0,0,0,0,1,1,0,0	1,1,1,1,1,1,1,1,1,1
5ae78ec5554299540e5a5605	0,0,1,0,1,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1
5a80d30655429938b61421fe	1,0,0,0,0,0,0,0,0,1	1,1,1,1,1,1,1,1,1,1
5a819aef55429926c1cdad50	1,0,0,0,1,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1
5aba865155429955dce3ee74	0,0,0,0,0,1,0,0,1,0	1,1,1,1,1,1,1,1,1,1
5a7fea955542994857a7684a	0,0,1,0,0,1,0,0,0,0	1,1,1,1,1,1,1,1,1,1
5ae225fb554299234fd043f8	0,0,1,1,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1
5a81d9b0554299676cceb0fe	0,0,1,0,0,0,0,0,1,0	1,1,1,1,1,1,1,1,1,1
5ae3f0955542995ad6573cae	0,0,0,1,0,0,0,0,0,1	1,1,1,1,1,1,1,1,1,1
5ab58ae15542992aa134a357	0,0,0,0,0,0,0,1,0,1	1,1,1,1,1,1,1,1,1,1
5a8e29175542990e94052a81	0,1,0,0,0,1,0,0,0,0	1,1,1,1,1,1,1,1,1,1
5abba27f5542996606241708	0,0,0,0,0,1,0,0,0,1	1,1,1,1,1,1,1,1,1,1
5a85d54a5542991dd0999eb5	0,0,0,1,0,0,0,0,1,0	1,1,1,1,1,1,1,1,1,1
5ab8f5685542991b5579f096	0,0,0,0,0,0,1,1,0,0	1,1,1,1,1,1,1,1,1,1
5a7e02d55542991319bc941f	1,0,0,0,0,0,0,0,0,1	1,1,1,1,1,1,1,1,1,1
5a7da95f5542990b8f503a14	0,0,0,1,0,0,0,1,0,0	1,1,1,1,1,1,1,1,1,1
5a8586ab5542997175ce1fca	0,1,0,0,0,0,0,0,0,1	1,1,1,1,1,1,1,1,1,1
5abad3395542996cc5e49e9f	0,0,0,1,0,0,0,0,1,0	1,1,1,1,1,1,1,1,1,1
5a7dd0875542990b8f503ac4	0,1,1,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1
5a7b73985542997c3ec9718b	0,0,1,0,1,0	1,1,1,1,1,1
5ab56eaa5542992aa134a316	1,0,0,0,0,0,1,0,0,0	1,1,1,1,1,1,1,1,1,1
5adcd8985542992c1e3a242d	0,0,0,0,0,0,0,1,1,0	1,1,1,1,1,1,1,1,1,1
5a7f4bdd5542994857a766e0	0,0,0,0,0,1,0,0,0,1	1,1,1,1,1,1,1,1,1,1
5ac3beb75542995ef918c20b	0,0,0,0,0,0,0,0,1,1	1,1,1,1,1,1,1,1,1,1
5abb7f825542996cc5e4a012	0,0,0,0,1,0,0,1,0,0	1,1,1,1,1,1,1,1,1,1
